cgpa,package
7.18,3.0
7.21,3.24
8.62,4.36
6.53,2.71
5.12,2.01
6.93,2.46
7.15,3.49
7.48,2.83
4.85,1.54
7.61,2.77
5.84,1.87
6.75,2.56
7.89,2.99
5.91,2.6
7.12,2.99
8.44,4.03
7.91,3.15
7.69,3.83
6.93,2.51
7.11,2.61
9.31,4.37
5.98,2.84
8.1,3.89
8.94,3.65
6.87,2.87
7.39,2.65
5.95,2.54
8.11,4.06
7.11,2.66
5.64,2.1
9.26,3.79
6.78,3.11
5.53,2.55
6.89,2.7
7.4,2.88
6.94,2.37
8.31,3.42
7.19,2.4
7.95,4.14
5.42,2.25
7.82,3.25
8.99,4.6
6.07,2.26
6.26,2.44
7.28,3.48
4.79,1.48
7.3,3.33
5.99,2.84
6.19,2.69
5.48,1.61
6.14,2.3
6.76,3.18
6.71,3.52
6.35,2.73
6.61,2.6
7.89,3.67
8.71,4.08
6.73,2.6
5.42,2.16
5.23,1.73
6.94,3.57
6.96,3.08
6.93,3.04
5.84,2.18
7.77,4.06
6.17,2.42
5.32,1.86
6.34,2.09
8.58,4.1
6.07,2.46
8.6,3.98
6.89,3.26
7.63,3.96
7.94,3.99
5.79,2.35
5.1,2.3
7.36,2.92
5.09,1.86
8.93,3.91
5.94,2.24
9.38,4.02
7.76,3.54
6.98,3.09
7.38,3.13
7.28,3.65
6.19,2.48
7.88,3.14
5.66,2.21
6.1,2.2
7.43,3.33
8.65,3.52
5.84,3.26
5.83,2.42
7.08,2.85
7.66,2.76
7.91,3.89
7.42,3.67
6.66,2.82
6.47,2.61
6.05,2.58
6.19,2.72
8.15,3.63
6.31,3.18
8.87,4.62
7.63,3.44
7.34,3.42
6.75,2.48
8.18,3.76
6.22,2.14
8.44,3.49
6.29,3.23
8.22,3.89
6.42,2.72
6.09,2.31
6.93,2.89
7.56,3.31
8.01,3.76
6.37,2.01
5.38,2.09
7.78,3.62
7.04,3.5
7.2,2.83
8.13,3.6
7.28,2.72
9.16,4.25
6.86,3.09
6.33,2.59
9.58,4.43
5.89,2.57
6.92,3.09
8.63,4.09
4.73,1.48
6.85,2.93
6.6,1.94
7.13,2.93
8.25,3.75
7.29,3.12
5.9,2.43
6.47,2.7
4.57,1.94
5.12,1.98
8.37,4.11
8.28,3.67
6.68,2.49
6.12,2.76
7.05,3.0
6.61,3.24
9.04,3.33
8.09,3.55
6.85,3.44
6.5,3.02
6.22,2.33
7.28,3.16
7.35,3.08
7.47,3.34
6.13,2.19
7.73,3.42
7.9,4.0
7.14,3.03
5.13,1.37
